"taxon_code","gbif_accepted_taxon_id","gbif_accepted_scientific_name","Forma_2015","FormaPBDY_2018"
"ABARJU-Abarema jupunba",11784337,"Jupunba trapezifolia","TC","T"
"ABARLA-Abarema laeta",11798059,"Jupunba laeta","TU","U"
"ABUTGL-Abuta sp. GL",7268654,"Abuta","CW",""
"ABUTGR-Abuta grandifolia",3830518,"Abuta grandifolia","SL","S"
"ABUTRU-Abuta rufescens",3830210,"Abuta rufescens","CW",""
"ABUT_D-Abuta sp. D",7268654,"Abuta","CW",""
"ABUT_E-Abuta sp. E",7268654,"Abuta","CW",""
"ACACTE-Acacia tenuifolia",2979126,"Senegalia tenuifolia","CW",""
"ACALCU-Acalypha cuneata",3056769,"Acalypha cuneata","SL","S"
"ACANAN-Acanthosyris annonagustata",3789565,"Acanthosyris annonagustata","TM","M"
"ACIDNI-Acidoton nicaraguensis",9349506,"Gitara nicaraguensis","SL","S"
"ADELSC-Adelobotrys scandens",3860497,"Adelobotrys scandens","C?",""
"ADEL_B-Adelobotrys sp. B",3860441,"Adelobotrys","CW",""
"ADENPU-Adenocalymma 'purpurascens'",10767005,"Adenocalymma","CW",""
"AECHAM-Aechmea 'amazonica'",2698292,"Aechmea chantinii","EH",""
"AEGICO-AEGIVI-Aegiphila cordifolia",8168968,"Aegiphila cordata","SL","S"
"AEGIHA-Aegiphila haughtii",3890246,"Aegiphila ulei","TU","U"
"AEGIME-Aegiphila 'memboscu'",9156446,"Aegiphila","SL","S"
"AGONGO-AGONSI-Agonandra 'gordito'",3658855,"Agonandra silvatica","TC","T"
"AGONSI-AGONPE-Agonandra silvatica",3658897,"Agonandra peruviana","TM","M"
"AGONTR-SCHPLU-Agonandra 'trespromin'",3685474,"Schoepfia lucida","TM","M"
"AIPHUL-Aiphanes ulei",2738687,"Aiphanes ulei","SL","S"
"ALC1TR-Alchornea triplinervia",3055511,"Alchornea triplinervia","TE","E"
"ALC2FL-Alchorneopsis floribunda",3055091,"Alchorneopsis floribunda","TC","T"
"ALIBNU-AGOUCU-Alibertia 'nuevadoris'",2898485,"Agouticarpa curviflora","SL","S"
"ALLOAR-ALLOAM-Allophylus 'arcorden'",7265045,"Allophylus amazonicus","TM","M"
"ALLOGL-Allophylus 'glabra'",3189992,"Allophylus","TM","M"
"ALLOPI-Allophylus pilosus",5577089,"Allophylus pilosus","TU","U"
"ALLOSC-Allophylus 'scabrid'",7264975,"Allophylus divaricatus","TM","M"
"ALSECO-Alseis 'comun'",5334883,"Alseis lugonis","TC","T"
"AMPEED-Ampelocera edentula",4160141,"Ampelocera edentula","TM","T"
"AMPELO-Ampelocera longissima",4160051,"Ampelocera longissima","TM","M"
"AMPHPA-Amphilophium paniculatum",3172589,"Amphilophium paniculatum","CW",""
"AMPH_A-Amphilophium sp. A",3172588,"Amphilophium","CW",""
"ANAXBR-Anaxagorea brevipes",3156884,"Anaxagorea brevipes","TU","U"
"ANEMCH-Anemopaegma chrysoleucum",3172463,"Anemopaegma","CW",""
"ANIBGU-Aniba guianensis",3034090,"Aniba guianensis","TC","T"
"ANIBHO-Aniba hostmanniana",4181158,"Aniba hostmanniana","TM","M"
"ANIBRI-Aniba riparia",4180474,"Aniba riparia","TM","M"
"ANNOAM-Annona ambotay",5407112,"Annona ambotay","TM","M"
"ANNOFL-ROLLFL-Rollinia 'flacaglabra'",3155252,"Annona","SL","S"
"ANNOMO-Annona 'mosaic'",3155252,"Annona","TC","T"
"ANT1_O-Anthodon sp. O",5579479,"Anthodon decussatum","CW",""
"ANTHAM-Anthodiscus amazonicus",5592414,"Anthodiscus amazonicus","TC","T"
"ANTHBO-Anthurium bonplandii",2872628,"Anthurium bonplandii","XT",""
"ANTHGR-Anthurium griseum",8023409,"Anthurium griseum","EH",""
"ANTHSI-Anthurium sinuatum",2872356,"Anthurium sinuatum","EH",""
"ANTH_D-Anthurium sp. D",2872218,"Anthurium","",""
"ANTH_H-Anthurium sp. H",2872218,"Anthurium","EH",""
"ANTH_J-Anthurium sp. J ('palmata')",2872218,"Anthurium","EH",""
"APARCO-Aparisthmium cordatum",3072468,"Aparisthmium cordatum","TM","M"
"APEIME-Apeiba menbranacea",4260481,"Apeiba membranacea","TC","T"
"APEITI-Apeiba tibourbou",3152052,"Apeiba tibourbou","TC","T"
"APO_AD-Apocynaceae sp. AD",6701,"Apocynaceae","CW",""
"APO_AQ-Apocynaceae sp. AQ",7311668,"Tassadia","CW",""
"APO_OF-Apocynaceae sp. OF",7316765,"Allomarkgrafia","CW",""
"APO_Z-Apocynaceae sp. Z",6701,"Apocynaceae","CW",""
"APTATU-Aptandra tubicina",3685770,"Aptandra tubicina","TC","T"
"APULLE-Apuleia leiocarpa",5353578,"Apuleia leiocarpa","TC","T"
"ARA_AC-Araceae sp. AC",6979,"Araceae","-",""
"ARA_PIN-Araceae spp. (partes indet. a sp.)",6979,"Araceae","-",""
"ARDISE-Ardisia 'semibulada'",3169458,"Ardisia","SL","S"
"ARIS_A-Aristolochia sp. A",2873978,"Aristolochia","CW",""
"ARIS_H-Aristolochia sp. H",2873978,"Aristolochia","CW",""
"ARIS_K-Aristolochia sp. K",2873978,"Aristolochia","CW",""
"ARIS_L-Aristolochia sp. L",2873978,"Aristolochia","CW",""
"ARIS_M-Aristolochia sp. M",2873978,"Aristolochia","CW",""
"ARRA_A-Arrabidaea sp. A",3233562,"Fridericia","CW",""
"ARRA_B-Arrabidaea sp. B",3233562,"","CW",""
"ASCL_A-Asclepiadaceae sp. A (2)",3170354,"","CW",""
"ASPIBL-Aspidosperma 'blancimpreso'",7316607,"Aspidosperma","TC","T"
"ASPIDA-Aspidosperma darienense",10398357,"Aspidosperma darienense","TC","T"
"ASPIGR-ASPIME-Aspidosperma 'grandis'",7316950,"Aspidosperma megalocarpon","TC","T"
"ASPIRI-Aspidosperma rigidum",3616924,"Aspidosperma rigidum","TC","T"
"ASPLVA-Asplundia vaupesiana",2861069,"Asplundia vaupesiana","HV",""
"ASPL_A-Asplundia sp. A",2860937,"Asplundia","HV",""
"ASPL_B-Asplundia sp. B",2860937,"Asplundia","HV",""
"ASPL_J-Asplundia sp. J",5327022,"Ludovia integrifolia","HV",""
"ASPL_L-Asplundia sp. L",2860937,"Asplundia","HV",""
"ASPL_N-Asplundia sp. N",2860937,"Asplundia","HV",""
"ASPL_S-Asplundia sp. S",2860937,"Asplundia","HV",""
"AST1CH-ASTCCH-Astrocaryum chambira",2738064,"Astrocaryum chambira","TC","T"
"AST1MU-ASTCMU-Astrocaryum murumuru",2738111,"Astrocaryum urostachys","TM","M"
"AST2CO-ASTRGR-Astronium 'comun'",7321588,"Astronium graveolens","TC","T"
"AST_B-Asteraceae sp. B",7722389,"Mikania","CW",""
"AST_C-Asteraceae sp. C",3065,"Asteraceae","CW",""
"AST_D-Asteraceae sp. D",3065,"Asteraceae","CW",""
"AST_G-Asteraceae sp. G",3065,"Asteraceae","CW",""
"AST_H-Asteraceae sp. H",3065,"Asteraceae","CW",""
"AST_Q-Asteraceae sp. Q",3065,"Asteraceae","CW",""
"AST_R-Asteraceae sp. R",3065,"Asteraceae","CW",""
"AST_S-Asteraceae sp. S",3065,"Asteraceae","CW",""
"ATTAIN-Attalea insignis cf.",2732824,"Attalea insignis","SS",""
"ATTAMA-Attalea maripa",2732686,"Attalea maripa","TC","T"
"Abarema",2977807,"Abarema","",""
"Abuta",7268654,"Abuta","",""
"Acacia",2978223,"Acacia","",""
"Acalypha",3055964,"Acalypha","",""
"Acanthaceae",2393,"Acanthaceae","",""
"Acanthosyris",7265275,"Acanthosyris","",""
"Achariaceae",3231308,"Achariaceae","",""
"Acidoton",5380354,"Acidoton","",""
"Adelobotrys",3860441,"Adelobotrys","",""
"Adenocalymma",10767005,"Adenocalymma","",""
"Aechmea",2697812,"Aechmea","",""
"Aegiphila",9156446,"Aegiphila","",""
"Agonandra",8219051,"Agonandra","",""
"Agouticarpa",2898476,"Agouticarpa","",""
"Aiphanes",2738638,"Aiphanes","",""
"Albizia",2972897,"Albizia","",""
"Albizia niopoides",2973046,"Albizia niopoides","",""
"Alchornea",3055345,"Alchornea","",""
"Alchorneopsis",7410955,"Alchorneopsis","",""
"Alibertia",2896652,"Alibertia","",""
"Allomarkgrafia",7316765,"Allomarkgrafia","",""
"Allophylus",3189992,"Allophylus","",""
"Alseis",2894134,"Alseis","",""
"Ampelocera",7303603,"Ampelocera","",""
"Amphilophium",3172588,"Amphilophium","",""
"Anacardiaceae",2398,"Anacardiaceae","",""
"Anaxagorea",8275519,"Anaxagorea","",""
"Anemopaegma",3172463,"Anemopaegma","",""
"Aniba",3034086,"Aniba","",""
"Annona",3155252,"Annona","",""
"Annonaceae",9291,"Annonaceae","",""
"Anthodiscus",3231310,"Anthodiscus","",""
"Anthodon",3231386,"Anthodon","",""
"Anthurium",2872218,"Anthurium","",""
"Aparisthmium",3072467,"Aparisthmium","",""
"Apeiba",3152049,"Apeiba","",""
"Apiaceae",6720,"Apiaceae","",""
"Apocynaceae",6701,"Apocynaceae","",""
"Aptandra",7326472,"Aptandra","",""
"Aptandraceae",4924613,"Aptandraceae","",""
"Apuleia",2955914,"Apuleia","",""
"Araceae",6979,"Araceae","",""
"Araliaceae",8800,"Araliaceae","",""
"Ardisia",3169458,"Ardisia","",""
"Arecaceae",7681,"Arecaceae","",""
"Aristolochia",2873978,"Aristolochia","",""
"Aristolochiaceae",3066,"Aristolochiaceae","",""
"Arrabidaea",3233562,"Fridericia","",""
"Asclepiadaceae",6700,"Asclepiadaceae","",""
"Aspidosperma",7316607,"Aspidosperma","",""
"Asplundia",2860937,"Asplundia","",""
"Asteraceae",3065,"Asteraceae","",""
"Astrocaryum",2738048,"Astrocaryum","",""
"Astronium",7321564,"Astronium","",""
"Attalea",2732664,"Attalea","",""
"BACTCO-Bactris corossilla",2733242,"Bactris corossilla","SL","S"
"BACTMA-Bactris maraja",2732946,"Bactris maraja","SL","S"
"BACTSI-Bactris simplicifrons",2733215,"Bactris simplicifrons","SL","S"
"BANIER-Banisteriopsis erianthera",3983714,"Diplopterys erianthera","CW",""
"BANILU-Banisteriopsis lucida cf.",3191472,"Securidaca","CW",""
"BANI_A-Banisteriopsis sp. A",7618041,"Banisteriopsis","CW",""
"BANI_B-Banisteriopsis sp. B",7618041,"Banisteriopsis","CW",""
"BANI_J-Banisteriopsis sp. J",7618041,"Banisteriopsis","CW",""
"BATOOB-BATOAM-Batocarpus 'obmembra'",3763869,"Batocarpus amazonicus","TC","T"
"BATOOR-Batocarpus orinocensis",3763838,"Batocarpus orinocensis","TC","T"
"BATORA-BATOCO-Batocarpus 'ramaroja'",3763858,"Batocarpus costaricensis","TC","T"
"BAUHBR-Bauhinia brachycalyx",2953223,"Bauhinia brachycalyx","TM","M"
"BAUHGL-Bauhinia glabra",2953170,"Schnella glabra","CW",""
"BAUHGU-Bauhinia guianensis",4929144,"Schnella guianensis","CW",""
"BAUHMA-Bauhinia 'magenta'",7431595,"Schnella outimouta","CW",""
"BAUHRU-Bauhinia rutilans",7278572,"Schnella rutilans","CW","V"
"BAUH_AD-Bauhinia sp. AD",7278569,"Schnella","CW",""
"BAUH_AE-Bauhinia sp. AE",7278569,"Schnella","CW",""
"BAUH_G-Bauhinia sp. G",7278569,"Schnella","CW",""
"BAUH_S-Bauhinia sp. S",7278569,"Schnella","CW",""
"BAUH_T-Bauhinia sp. T",7278569,"Schnella","CW",""
"BAUH_W-Bauhinia sp. W",7278569,"Schnella","CW",""
"BEGO_B-Begonia sp. B",2874710,"Begonia","XT",""
"BEILPE-Beilschmiedia pendula",3034073,"Beilschmiedia pendula","TC","T"
"BELLPE-Bellucia pentamera",3866517,"Bellucia pentamera","TM","M"
"BESLQU-Besleria quadrangulata",3824140,"Besleria quadrangulata","SL","S"
"BIG_AE-Bignoniaceae sp. AE",6655,"Bignoniaceae","CW",""
"BIG_AJ-Bignoniaceae sp. AJ",7933875,"Tanaecium pyramidatum","CW",""
"BIG_AK-Bignoniaceae sp. AK",6655,"Bignoniaceae","CW",""
"BIG_AM-Bignoniaceae sp. AM",6655,"Bignoniaceae","CW",""
"BIG_AO-Bignoniaceae sp. AO",6655,"Bignoniaceae","CW",""
"BIG_AP-Bignoniaceae sp. AP",6655,"Bignoniaceae","CW",""
"BIG_AS-Bignoniaceae sp. AS",6655,"Bignoniaceae","CW",""
"BIG_AW-Bignoniaceae sp. AW",6655,"Bignoniaceae","CW",""
"BIG_AZ-Bignoniaceae sp. AZ",6655,"Bignoniaceae","CW",""
"BIG_B-Bignoniaceae sp. B",6655,"Bignoniaceae","CW",""
"BIG_BA-Bignoniaceae sp. BA",6655,"Bignoniaceae","CW",""
"BIG_BB-Bignoniaceae sp. BB",6655,"Bignoniaceae","CW",""
"BIG_BL-Bignoniaceae sp. BL",6655,"Bignoniaceae","CW",""
"BIG_BM-Bignoniaceae sp. BM",6655,"Bignoniaceae","CW",""
"BIG_BO-Bignoniaceae sp. BO",3172598,"Tynanthus","CW",""
"BIG_BQ-Bignoniaceae sp. BQ",6655,"Bignoniaceae","CW",""
"BIG_C-Bignoniaceae sp. C",6655,"Bignoniaceae","CW",""
"BIG_F-Bignoniaceae sp. F",3172559,"Bignonia aequinoctialis","CW",""
"BIG_G-Bignoniaceae sp. G",6655,"Bignoniaceae","CW",""
"BIG_S-Bignoniaceae sp. S",6655,"Bignoniaceae","CW",""
"BIG_V-Bignoniaceae sp. V",6655,"Bignoniaceae","CW",""
"BIG_W-Bignoniaceae sp. W",6655,"Bignoniaceae","CW",""
"BIG_X-Bignoniaceae sp. X",6655,"Bignoniaceae","CW",""
"BIG_Y-Bignoniaceae sp. Y",7930324,"Fridericia schumanniana","CW",""
"BLAK_A-Blakea sp. A",3231475,"Blakea","HL",""
"BLAK_B-BLAKRO-Blakea sp. B",5600155,"Blakea rosea","HL","H"
"BLAK_C-Blakea sp. C",3231475,"Blakea","HL",""
"BOM_A-Bombacaceae sp. A",6685,"","T?",""
"BOROA1-AGOUIS-Borojoa 'axiglab'",2898482,"Agouticarpa isernii","TM","M"
"BOROA2-BOROCL-Borojoa 'axipub'",7469198,"Alibertia duckeana","TM","M"
"BRO1AC-BROSAC-Brosimum acutifolium",7262461,"Brosimum acutifolium","TC","T"
"BRO1GU-BROSGU-Brosimum guianense",7374879,"Brosimum guianense","TC","T"
"BRO1LA-BROSLA-Brosimum lactescens",3763127,"Brosimum lactescens","TC","T"
"BRO1PO-BROSPO-Brosimum potabile",3762892,"Brosimum potabile","TC","T"
"BRO1UT-BROSUT-Brosimum utile",3762702,"Brosimum utile ovatifolium","TC","T"
"BRO2GR-BROWGR-Brownea grandiceps",2970463,"Brownea grandiceps","TM","M"
"BRO3LO-BROWLO-Browneopsis 'lore'",8875403,"Brownea jaramilloi","TM","M"
"BRO_A-Bromeliaceae sp. A",2697812,"Aechmea","EH",""
"BRO_B-Bromeliaceae sp. B",3740,"Bromeliaceae","EH",""
"BRO_C-Bromeliaceae sp. C",3740,"Bromeliaceae","EH",""
"BRO_D-Bromeliaceae sp. D",3740,"Bromeliaceae","EH",""
"BRO_E-Bromeliaceae sp. E",3740,"Bromeliaceae","EH",""
"BRO_F-Bromeliaceae sp. F",3740,"Bromeliaceae","EH",""
"BRO_H-Bromeliaceae sp. H",3740,"Bromeliaceae","EH",""
"BRO_I-Bromeliaceae sp. I",3740,"Bromeliaceae","EH",""
"BRO_J-Bromeliaceae sp. J",3740,"Bromeliaceae","EH",""
"BRO_L-Bromeliaceae sp. L",3740,"Bromeliaceae","EH",""
"BRO_M-Bromeliaceae sp. M",3740,"Bromeliaceae","EH",""
"BRO_N-Bromeliaceae sp. N",3740,"Bromeliaceae","EH",""
"BRUNCH-Brunfelsia chiricaspi",2932912,"Brunfelsia chiricaspi","SL","S"
"BUCHCI-BUCHPU-Buchenavia 'cilipunto'",3699032,"Terminalia oxycarpa","TC","T"
"BUCHEL-BUCHGR-Buchenavia 'elegante'",9392612,"Terminalia grandis","TC","E"
"BUCHPA-Buchenavia parvifolia",9455981,"Terminalia parvifolia","TC","T"
"BUNCMY-Bunchosia 'myrt'",7404976,"Bunchosia","SL","S"
"BYRSDO-BYRSPU-Byrsonima 'dorada'",3984820,"Byrsonima putumayensis","TC","T"
"BYRSJU-Byrsonima 'juanito'",3191347,"Byrsonima","TC","T"
"BYTT_A-Byttneria sp. A",7441533,"Byttneria catalpifolia","CW",""
"BYTT_B-Byttneria sp. B",3670201,"Byttneria asterotricha","CW",""
"Bactris",2732906,"Bactris","",""
"Banara",2874154,"Banara","",""
"Banara nitida",3879623,"Banara nitida","",""
"Banisteriopsis",7618041,"Banisteriopsis","",""
"Batocarpus",6358620,"Batocarpus","",""
"Bauhinia",2952935,"Bauhinia","",""
"Begonia",2874710,"Begonia","",""
"Begoniaceae",6638,"Begoniaceae","",""
"Beilschmiedia",3034072,"Beilschmiedia","",""
"Bellucia",3866386,"Bellucia","",""
"Besleria",6365035,"Besleria","",""
"Bignonia",3172515,"Bignonia","",""
"Bignoniaceae",6655,"Bignoniaceae","",""
"Blakea",3231475,"Blakea","",""
"Bombacaceae",6685,"Malvaceae","",""
"Boraginaceae",2498,"Boraginaceae","",""
"Borojoa",2896652,"Alibertia","",""
"Bribria",10977818,"Bribria","",""
"Bromeliaceae",3740,"Bromeliaceae","",""
"Brosimum",2984656,"Brosimum","",""
"Brownea",2970433,"Brownea","",""
"Browneopsis",2944236,"Browneopsis","",""
"Brunfelsia",2932910,"Brunfelsia","",""
"Buchenavia",3189387,"Terminalia","",""
"Bunchosia",7404976,"Bunchosia","",""
"Burseraceae",6659,"Burseraceae","",""
"Byrsonima",3191347,"Byrsonima","",""
"Byttneria",7445609,"Byttneria","",""
"CABRCA-Cabralea canjerana",7271502,"Cabralea canjerana","TC","T"
"CAL1CA-CALLCA-Calliandra carbonaria",2982050,"Calliandra trinervia carbonaria","TC","T"
"CAL2LA-Callichlamys latifolia",8338389,"Callichlamys latifolia","CW",""
"CAL3BR-CALOBR-Calophyllum brasiliense",5421069,"Calophyllum brasiliense","TE","E"
"CAL4ME-CALCME-Calycophyllum megistocaulum",2903996,"Calycophyllum megistocaulum","TC","T"
"CALYP3-CALPPC-Calyptranthes 'punctote'",10681855,"Myrcia adenophylla","TU","S"
"CALYPL-CALPPL-Calyptranthes plicata",10785938,"Myrcia plicata","TU","U"
"CALYPS-CALPPS-Calyptranthes 'pseudospeciosa'",10802852,"Myrcia manuensis","TM","M"
"CALYSE-CALPSE-Calyptranthes 'sedosa'",10851138,"Myrcia yasuniana","TU","U"
"CALYSP-CALPSP-Calyptranthes speciosa",10825908,"Myrcia neospeciosa","SL","S"
"CAPIDE-Capirona decorticans",10910620,"Capirona macrophylla","TC","T"
"CAPPDE-Capparis detonsa",7790974,"Preslianthus detonsus","TU","U"
"CAPPOS-Capparis osmantha",7379306,"Capparidastrum osmanthum","TM","M"
"CAPPSO-Capparis sola",8405416,"Capparidastrum solum","SL","S"
"CAPP_A-Capparis sp. A",3054191,"Capparis","T?",""
"CAR1CO-CARACO-Caraipa 'comun'",7330048,"Caraipa","TC","T"
"CAR3LO-CARPLO-Carpotroche longifolia",7274065,"Carpotroche longifolia","SL","S"
"CAR4GL-CARYGL-Caryocar glabrum",3826026,"Caryocar glabrum","TC","T"
"CAR6OR-CARDOR-Caryodendron orinocense",3055897,"Caryodendron orinocense","TC","T"
"CARIMI-Carica microcarpa",7269680,"Vasconcellea microcarpa","SL","S"
"CAS1AR-CASEAR-Casearia 'argut'",2874105,"Casearia","TU","U"
"CAS1AT-CASEAE-Casearia 'a-tomen'",5331149,"Casearia arborea","TC","T"
"CAS1BR-CASEBR-Casearia bracteifera",7723868,"Casearia combaymensis","TM","M"
"CAS1JA-CASEJA-Casearia javitensis",3878690,"Piparea multiflora","TM","M"
"CAS1NI-CASENI-Casearia nigricans",7526781,"Casearia nigricans","SL","S"
"CAS1P1-CASEPR-Casearia 'prunicerob'",2874105,"Casearia","SL","S"
"CAS1P2-CASEPF-Casearia prunifolia",7423546,"Casearia prunifolia","SL","S"
"CAS1PI-CASEPI-Casearia pitumba",7499281,"Casearia pitumba","SL","S"
"CAS1S1-CASESP-Casearia 'sylvepub'",2874105,"Casearia","TM","M"
"CAS3UL-CASTUL-Castilla ulei",2984559,"Castilla ulei","TC","T"
"CATHAC-Cathedra acuminata",8137356,"Cathedra acuminata","TC","T"
"CAYA1P-Cayaponia '1-punto' (plantula)",2874613,"Cayaponia","CW",""
"CAYA3P-Cayaponia '3 puntos' (plantula)",3623226,"Cayaponia ophthalmica","CW",""
"CAYAMA-Cayaponia macrocalyx",3623402,"Cayaponia macrocalyx","CW",""
"CAYATU-Cayaponia 'tubulosa' cf.",2874613,"Cayaponia","CW",""
"CAYA_C-Cayaponia sp. C ('5 puntos' plantula)",2874613,"Cayaponia","C?",""
"CAYA_D-Cayaponia sp. D",2874613,"Cayaponia","C?",""
"CECRFI-Cecropia ficifolia",8173870,"Cecropia ficifolia","TC","T"
"CECRHE-Cecropia herthae",4013414,"Cecropia herthae","TC","T"
"CECRMA-Cecropia marginalis",4013650,"Cecropia marginalis","TM","M"
"CECRME-Cecropia 'membra'",4013609,"Cecropia membranacea","TM","M"
"CECRS1-CECREN-Cecropia 'scabhert'",4013581,"Cecropia engleriana","TC","T"
"CECRS2-CECRSC-Cecropia sciadophylla",7316424,"Cecropia sciadophylla","TC","T"
"CED1FI-CEDAOD-Cedrela fissilis",3190511,"Cedrela odorata","TE","E"
"CED2CA-CEDGCA-Cedrelinga cateniformis",2976174,"Cedrelinga cateniformis","TE","E"
"CEIBPE-Ceiba pentandra",5406697,"Ceiba pentandra","TE","E"
"CEIBSA-Ceiba samauma",7981929,"Ceiba samauma","TC","T"
"CELTIG-Celtis iguanaea",2984498,"Celtis iguanaea","CW",""
"CELTSC-Celtis schippii",4159734,"Celtis schippii","TC","T"
"CENTLO-Centropogon loretensis",5412643,"Centropogon loretensis","SL","S"
"CHEICO-Cheiloclinium cognatum",3790743,"Cheiloclinium cognatum","SL","S"
"CHI1JA-CHIMJA-Chimarrhis 'jacob'",2918950,"Chimarrhis","TC","T"
"CHOMCO-Chomelia 'comun'",5337295,"Chomelia tenuiflora","TU","U"
"CHR1ME-CHRCFR-Chrysochlamys 'medio'",3231115,"Chrysochlamys","SL","S"
"CHR1TE-CHRCTE-Chrysochlamys tenuifolia",5555698,"Chrysochlamys tenuifolia","SL","S"
"CHR2AR-CHRYAR-Chrysophyllum argenteum",2885742,"Chrysophyllum argenteum","SL","S"
"CHR2BA-CHRYOV-Chrysophyllum 'baeo'",2885929,"Chrysophyllum ovale","TC","T"
"CHR2CO-CHRYCU-Chrysophyllum colombianum",2885711,"Chrysophyllum cuneifolium","TM","M"
"CHR2LU-CHRYAM-Chrysophyllum 'lucent'",2885635,"Chrysophyllum amazonicum","TC","T"
"CHR2MI-CHRYMI-Chrysophyllum 'minor'",2885576,"Chrysophyllum","TC","T"
"CHR2V1-CHRYVE-Chrysophyllum venezuelanense",2885671,"Chrysophyllum venezuelanense","TC","T"
"CHR2V2-CHRYMA-Chrysophyllum 'vero'",2885648,"Chrysophyllum manaosense","TC","T"
"CIS1_A-Cissampelos sp. A",3033936,"Cissampelos","C?",""
"CIS2MI-Cissus microcarpa",11150913,"Cissus lombardiana","CW",""
"CIS2VI-Cissus 'viformifolia'",3039160,"Cissus","CW",""
"CIS2_A-Cissus sp. A",3039160,"Cissus","CW",""
"CIS2_J-Cissus sp. J",4054813,"Cissus descoingsii","CW",""
"CLARBI-Clarisia biflora",7262852,"Clarisia biflora","TC","T"
"CLARRA-Clarisia racemosa",5572170,"Clarisia racemosa","TC","E"
"CLAVGR-CLAVPR-Clavija 'granbril'",3585576,"Clavija procera","TU","U"
"CLAVWE-Clavija weberbaueri",3585486,"Clavija weberbaueri","SL","S"
"CLIDDI-Clidemia dimorphica",10773334,"Miconia dimorphica","SL","S"
"CLID_A-Clidemia sp. A",3188558,"","CW",""
"CLITPA-Clitoria 'palida'",2946499,"Clitoria","CW",""
