"taxon_code","gbif_accepted_taxon_id","gbif_accepted_scientific_name","Idlevel"
"GARCMC-Garcinia macrophylla",7727026,"Garcinia macrophylla","species"
"GENIAM-Genipa americana",2895593,"Genipa americana","species"
"GEONCO-Geonoma aspidiifolia",2734141,"Geonoma aspidiifolia","species"
"GEONMA-Geonoma maxima",2734176,"Geonoma maxima","species"
"GEONST-Geonoma stricta",2734102,"Geonoma stricta","species"
"GEONTR-Geonoma triglochin",2734265,"Geonoma triglochin","species"
"GLOEEQ-Gloeospermum equatoriense",4075162,"Gloeospermum equatoriense","species"
"GLOEES-Gloeospermum esferica",7296352,"Gloeospermum","genus"
"GLOELO-Gloeospermum longifolium",4075066,"Gloeospermum longifolium","species"
"GLYCAM-Glycydendron amazonicum",3061260,"Glycydendron amazonicum","species"
"GORDFR-Gordonia fruticosa",5528227,"Gordonia fruticosa","species"
"GRIANE-Grias neuberthii",3082343,"Grias neuberthii","species"
"GUAPCL-Guapira clasica",3086054,"Guapira","genus"
"GUAPGR-Guapira granclasica",3086054,"Guapira","genus"
"GUARCA-Guarea carinata",3849565,"Guarea carinata","species"
"GUAREC-Guarea ecuadoriensis",3852441,"Guarea ecuadoriensis","species"
"GUARFA-Guarea falsakunth",3190499,"Guarea","genus"
"GUARFI-Guarea fistulosa",3852308,"Guarea fistulosa","species"
"GUARGI-Guarea gigakunth",3190499,"Guarea","genus"
"GUARGL-Guarea glabra",3190505,"Guarea glabra","species"
"GUARGO-Guarea gomma",3852128,"Guarea gomma","species"
"GUARGR-Guarea grandifolia",3190500,"Guarea guidonia","species"
"GUARGU-Guarea guentheri",3852025,"Guarea guentheri","species"
"GUARGZ-Guarea guenthfuzzy",3190499,"Guarea","genus"
"GUARKU-Guarea kunthiana",3851727,"Guarea kunthiana","species"
"GUARMA-Guarea macrophylla",7271393,"Guarea macrophylla","species"
"GUARPB-Guarea pubescens",7846271,"Guarea pubescens","species"
"GUARPN-Guarea pubinervi",3190499,"Guarea","genus"
"GUARPS-Guarea pseudokunthiana",3190499,"Guarea","genus"
"GUARPT-Guarea pterorhachis",3850629,"Guarea pterorhachis","species"
"GUARPU-Guarea purusana",3850489,"Guarea purusana","species"
"GUARSI-Guarea silvatica",3850192,"Guarea silvatica","species"
"GUATCI-Guatteria stipitata",3155931,"Guatteria stipitata","species"
"GUATGI-Guatteria gigante",3155604,"Guatteria","genus"
"GUATGL-Guatteria glaberrima",3155844,"Guatteria modesta","species"
"GUATGR-Guatteria asplundiana",3155688,"Guatteria asplundiana","species"
"GUATGS-Annona edulis",5541644,"Annona edulis","species"
"GUATMU-Guatteria multivenia",3155818,"Guatteria guianensis","species"
"GUATPC-Guatteria punctomarron",3155604,"Guatteria","genus"
"GUATPL-Guatteria duodecima",3648380,"Guatteria duodecima","species"
"GUATPU-Guatteria scalarinervia",3155628,"Guatteria scalarinervia","species"
"GUATRE-Guatteria recurvisepala",3155658,"Guatteria recurvisepala","species"
"GUETAC-Guettarda acreana",6288508,"Stenostomum acreanum","species"
"GUSTHE-Gustavia hexapetala",5383835,"Gustavia hexapetala","species"
"GUSTLO-Gustavia longifolia",5383753,"Gustavia longifolia","species"
"HASSFL-Hasseltia floribunda",7760145,"Hasseltia floribunda","species"
"HASSHA-Hasseltia hasseltomen",3231177,"Hasseltia","genus"
"HEISAC-Heisteria acuminata",7222047,"Heisteria acuminata","species"
"HEISFL-Heisteria flacarco",3232590,"Heisteria","genus"
"HEISGR-Heisteria grande",3232590,"Heisteria","genus"
"HEISMU-Heisteria multiglan",3232590,"Heisteria","genus"
"HEISNI-Heisteria nitida",7737421,"Heisteria nitida","species"
"HELITO-Helicostylis tomentosa",3764831,"Helicostylis tomentosa","species"
"HELITU-Helicostylis turbinata",3764804,"Helicostylis turbinata","species"
"HENRAS-Henriettella aspera",3188527,"Henriettea","genus"
"HERRCU-Herrania cuatrecasana",3668352,"Herrania cuatrecasana","species"
"HERRNI-Herrania nitida",7322898,"Herrania nitida","species"
"HEVEGU-Hevea guianensis",3071199,"Hevea guianensis","species"
"HIERAL-Hieronyma alchorneoides",3079092,"Hieronyma alchorneoides","species"
"HIEROB-Hieronyma oblonga",3079119,"Hieronyma oblonga","species"
"HIMASU-Himatanthus sucuuba",3621740,"Himatanthus articulatus","species"
"HIRTEX-Hirtella excelsa",7701308,"Hirtella excelsa","species"
"HIRTRA-Hirtella racemosa",2985122,"Hirtella racemosa","species"
"HUERGL-Huertea glandulosa",3686262,"Huertea glandulosa","species"
"HYMAOB-Hymenaea oblongifolia",2950738,"Hymenaea oblongifolia","species"
"HYMEST-Hymenolobium stipsericea",7783451,"Hymenolobium","genus"
"HYOSEL-Hyospathe elegans",2736706,"Hyospathe elegans","species"
"INGA2A-Inga 2ala-angosta",2965936,"Inga","genus"
"INGA3C-Inga 3crasa",2965936,"Inga","genus"
"INGA3O-Inga 3oscura",2965936,"Inga","genus"
"INGA4A-Inga 4alitarco",2965936,"Inga","genus"
"INGA6C-Inga 6cuadra",2965936,"Inga","genus"
"INGAAB-Inga alba",5358137,"Inga alba","species"
"INGAAC-Inga acreana",5357584,"Inga acreana","species"
"INGAAL-Inga alata",5357817,"Inga alata","species"
"INGAAU-Inga auristellae",5357701,"Inga auristellae","species"
"INGABO-Inga bourgonii",5580442,"Inga bourgoni","species"
"INGABR-Inga brachyrhachis",5357846,"Inga brachyrhachis","species"
"INGACA-Inga capitata",5358094,"Inga capitata","species"
"INGACI-Inga ciliata",5357813,"Inga ciliata","species"
"INGACN-Inga cinnamomea",5358132,"Inga cinnamomea","species"
"INGACO-Inga cordatoalata",5357823,"Inga cordatoalata","species"
"INGACY-Inga cayennensis",5357789,"Inga cayennensis","species"
"INGAFA-Inga falsacre",2965936,"Inga","genus"
"INGAHE-Inga heterophylla",5357852,"Inga heterophylla","species"
"INGALE-Inga leiocalycina",5629065,"Inga laevigata","species"
"INGAMA-Inga marginata",7546887,"Inga marginata","species"
"INGAMI-Inga microcoma",5357932,"Inga microcoma","species"
"INGAMU-Inga multinervis",5358136,"Inga multinervis","species"
"INGANO-Inga nobilis",5357519,"Inga nobilis","species"
"INGAOE-Inga oerstediana",5358014,"Inga oerstediana","species"
"INGAPO-Inga poeppigiana",5357812,"Inga poeppigiana","species"
"INGAPU-Inga punctata",5357665,"Inga punctata","species"
"INGARS-Inga rusbyi",5357939,"Inga rusbyi","species"
"INGARU-Inga ruiziana",5357975,"Inga ruiziana","species"
"INGASA-Inga sapindoides",5357706,"Inga sapindoides","species"
"INGASB-Inga spectabilis",5357491,"Inga spectabilis","species"
"INGASE-Inga sertulifera",5357619,"Inga sertulifera","species"
"INGASL-Inga stellaeglabra",2965936,"Inga","genus"
"INGASP-Inga stipulacea",5358071,"Inga stipulacea","species"
"INGASR-Inga sarayacuensis",5357630,"Inga sarayacuensis","species"
"INGAST-Inga striata",5358084,"Inga striata","species"
"INGATE-Inga tenuistipula",5357513,"Inga tenuistipula","species"
"INGATH-Inga thibaudiana",5357991,"Inga thibaudiana","species"
"INGATO-Inga tocacheana",5357540,"Inga tocacheana","species"
"INGATS-Inga tessmannii",5358126,"Inga tessmannii","species"
"INGAUE-Inga umbellifera",5358027,"Inga umbellifera","species"
"INGAUM-Inga umbratica",5358034,"Inga umbratica","species"
"INGAVE-Inga velutina",5357985,"Inga velutina","species"
"INGAVI-Inga vismiifolia",5357608,"Inga vismiifolia","species"
"INGAYA-Inga yacoana",5358012,"Inga yacoana","species"
"IRIADE-Iriartea deltoidea",2739059,"Iriartea deltoidea","species"
"IRYAGR-Iryanthera grandis",3743999,"Iryanthera grandis","species"
"IRYAHO-Iryanthera hostmannii",3743981,"Iryanthera hostmannii","species"
"IRYAJU-Iryanthera juruensis",3743957,"Iryanthera juruensis","species"
"IRYAPA-Iryanthera paraensis",3743809,"Iryanthera paraensis","species"
"IXORAC-Ixora acuminatissima",2905481,"Ixora acuminatissima","species"
"IXORKI-Ixora killipii",2905346,"Ixora killipii","species"
"IXORPA-Ixora panurensis",2906015,"Ixora panurensis","species"
"IXORYA-Ixora yavitensis",2905864,"Ixora yavitensis","species"
"JACACO-Jacaranda copaia",7298763,"Jacaranda copaia","species"
"JACAGL-Jacaranda glabra",4094115,"Jacaranda glabra","species"
"JACTDI-Jacaratia digitata",3838792,"Jacaratia digitata","species"
"JUSTSA-Justicia sanchezioides",3769279,"Justicia sanchezioides","species"
"KLARNA-Klarobelia napoensis",3157886,"Klarobelia napoensis","species"
"KOTCSE-Kutchubaea semisericea",2893791,"Kutchubaea semisericea","species"
"LACIAG-Lacistema aggregatum",3075397,"Lacistema aggregatum","species"
"LACIME-Lacistema med",3075381,"Lacistema","genus"
"LACINE-Lacistema nena",3075394,"Lacistema nena","species"
"LACMLA-Lacmellea lactescens",3618040,"Lacmellea edulis","species"
"LACMOB-Lacmellea oblongata",3617848,"Lacmellea oblongata","species"
"LACUCR-Lacunaria crenada",3231148,"Lacunaria","genus"
"LACUJE-Lacunaria jenmanii",7939053,"Lacunaria jenmanii","species"
"LAETPR-Laetia procera",5331156,"Casearia bicolor","species"
"LAXOTE-Laxoplumeria tessmannii",3615153,"Laxoplumeria tessmannii","species"
"LEANAR-Leandra aristigera",10866841,"Miconia aristigera","species"
"LEANBL-Leandra blanca",3188558,"Miconia","genus"
"LEANCH-Leandra chaetodon",10804497,"Miconia chaetodonta","species"
"LEANLO-Leandra longicoma",10847496,"Miconia longicoma","species"
"LECOPE-Lecointea peruviana",2965105,"Lecointea peruviana","species"
"LEONCR-Leonia crassa",5664263,"Leonia crassa","species"
"LEONGL-Leonia glycycarpa",7296446,"Leonia glycycarpa","species"
"LEONOC-Leonia occidentalis",7565511,"Leonia occidentalis","species"
"LICAAR-Licania arborea",10248926,"Microdesmia arborea","species"
"LICABL-Licania blancostaverde",2985250,"Licania","genus"
"LICABR-Licania brittoniana",9832761,"Moquilea brittoniana","species"
"LICACA-Licania caudata",9988535,"Hymenopus caudatus","species"
"LICAFI-Licania filo",2985250,"Licania","genus"
"LICAHA-Licania harlingii",2985470,"Licania harlingii","species"
"LICAHI-Licania hipofuzzy",2985250,"Licania","genus"
"LICALG-Licania longipedicellat",10226841,"Moquilea longipedicellata","species"
"LICALO-Licania longistyla",7914955,"Licania longistyla","species"
"LICAMA-Licania macrocarpa",10684093,"Moquilea magnifructa","species"
"LICANE-Licania nervifina",2985250,"Licania","genus"
"LICAOP-Licania opaca",2985250,"Licania","genus"
"LICAPA-Licania pablo",2985250,"Licania","genus"
"LICARE-Licania reticulata",9931046,"Hymenopus reticulatus","species"
"LICAUR-Licania urceolaris",2985481,"Licania urceolaris","species"
"LICAZI-Licania zigzag",2985250,"Licania","genus"
"LICRBR-Licaria brillacuspi",3033969,"Licaria","genus"
"LICRCA-Licaria cannella",7304725,"Licaria canella","species"
"LICRGU-Licaria guianensis",4182465,"Licaria guianensis","species"
"LINDPA-Lindackeria paludosa",3879608,"Lindackeria paludosa","species"
"LONCSE-Lonchocarpus seorsus",3907967,"Lonchocarpus seorsus","species"
"LOREKL-Loreya klugii",5938550,"Bellucia klugii","species"
"LORESP-Loreya spruceana",3866466,"Bellucia spruceana","species"
"LOZAKL-Lozania klugii",3075435,"Lozania klugii","species"
"LUNAPA-Lunania parviflora",3879038,"Lunania parviflora","species"
"MABECO-Mabea comun",3071743,"Mabea","genus"
"MABESU-Mabea superbrondu",3071743,"Mabea","genus"
"MACHAR-Machaerium aristulatum",5355151,"Machaerium aristulatum","species"
"MACHFI-Machaerium finiparalel",2959589,"Machaerium","genus"
"MACNRO-Macrocnemum roseum",2895641,"Macrocnemum roseum","species"
"MACRAN-Macrolobium angustifolium",2948867,"Macrolobium angustifolium","species"
"MACRAR-Macrolobium archeri",2948900,"Macrolobium archeri","species"
"MACRCO-Macrolobium colombianum",7933627,"Macrolobium colombianum","species"
"MACRST-Macrolobium stenocladum",2948810,"Macrolobium stenocladum","species"
"MACRYA-Macrolobium yasuni",7743878,"Macrolobium","genus"
"MAQUCA-Maquira calophylla",3763735,"Maquira calophylla","species"
"MAQUGU-Maquira guianensis",3763686,"Maquira guianensis","species"
"MARGNO-Margaritaria nobilis",5383279,"Margaritaria nobilis","species"
"MARGRO-Margaritaria roja",8016408,"Margaritaria","genus"
"MARICO-Marila comun",3189554,"Marila","genus"
"MARIPU-Marila puntorojo",3189554,"Marila","genus"
"MARMBA-Marmaroxylon basijugum",5580511,"Zygia basijuga","species"
"MARTBO-Margaritopsis boliviana",9327956,"Eumachia boliviana","species"
"MATAOC-Matayba ocho",3190011,"Matayba","genus"
"MATIBR-Matisia bracteolosa",4073984,"Matisia bracteolosa","species"
"MATICO-Matisia cordata",4073924,"Matisia cordata","species"
"MATILO-Matisia huallagensis",4073800,"Matisia huallagensis","species"
"MATIMA-Matisia malacocalyx",4073678,"Matisia malacocalyx","species"
"MATIOB-Matisia oblongifolia",4073648,"Matisia oblongifolia","species"
"MATIOQ-Matisia obliquifolia",4073657,"Matisia obliquifolia","species"
"MAURFL-Mauritia flexuosa",5294777,"Mauritia flexuosa","species"
"MAYNAN-Mayna anelio",7274118,"Mayna","genus"
"MAYNOD-Mayna odorata",3878638,"Mayna odorata","species"
"MAYTAL-Maytenus ala",3169095,"Maytenus","genus"
"MAYTCI-Maytenus cilindrica",3169095,"Maytenus","genus"
"MAYTCU-Maytenus cuadliso",3169095,"Maytenus","genus"
"MELCNG-Melicoccus novogranatensis",3788341,"Melicoccus novogranatensis","species"
"MELIDO-Meliosma doly",3033959,"Meliosma","genus"
"MELIPO-Meliosma polyneura",8102908,"Meliosma polyneura","species"
"MELIVA-Meliosma vasquezii",3838328,"Meliosma vasquezii","species"
"MEMOCL-Memora cladotricha",7452137,"Adenocalymma cladotrichum","species"
"MEZIEX-Mezilaurus extendido",7529619,"Mezilaurus","genus"
"MEZITR-Mezilaurus triunca",4181903,"Mezilaurus triunca","species"
"MICOAB-Miconia abbreviata",3861245,"Miconia abbreviata","species"
"MICOAC-Miconia acutipetala",3861059,"Miconia acutipetala","species"
"MICOAM-Miconia ampla",3860460,"Miconia ampla","species"
"MICOAT-Miconia atenunodu",3188558,"Miconia","genus"
"MICOAU-Miconia aureoides",3859491,"Miconia aureoides","species"
"MICOBU-Miconia bubalina",8776463,"Miconia bubalina","species"
"MICOCE-Miconia centrodesma",3870706,"Miconia centrodesma","species"
"MICOCH-Miconia chocofres",3188558,"Miconia","genus"
"MICOCO-Miconia corine",3188558,"Miconia","genus"
"MICOCR-Miconia crasarb",3188558,"Miconia","genus"
"MICODE-Miconia decurrens",3868105,"Miconia decurrens","species"
"MICOEG-Miconia egensis",3867110,"Miconia egensis","species"
"MICOEL-Miconia elata",3866980,"Miconia elata","species"
"MICOET-Miconia elatita",3188558,"Miconia","genus"
"MICOFA-Miconia falsarug",3188558,"Miconia","genus"
"MICOFO-Miconia fosteri",3865941,"Miconia fosteri","species"
"MICOGC-Miconia grancordata",3188558,"Miconia","genus"
"MICOGR-Miconia grandifolia",8345499,"Miconia grandifolia","species"
"MICOKA-Miconia karina",3188558,"Miconia","genus"
"MICOKL-Miconia klugii",3863185,"Miconia klugii","species"
"MICOLA-Miconia lamprophylla",3862893,"Miconia lamprophylla","species"
"MICOLT-Miconia lateriflora",3862739,"Miconia lateriflora","species"
"MICOLU-Miconia lugonis",3861930,"Miconia lugonis","species"
"MICOMA-Miconia matthaei",3861216,"Miconia matthaei","species"
"MICOME-Miconia medglauca",3188558,"Miconia","genus"
"MICOMU-Miconia multispicata",3860116,"Miconia multispicata","species"
"MICONA-Miconia napoana",3859967,"Miconia napoana","species"
"MICONE-Miconia nerviblanco",3188558,"Miconia","genus"
"MICONV-Miconia nervosa",3859839,"Miconia nervosa","species"
"MICOPE-Miconia peqdorada",3188558,"Miconia","genus"
"MICOPI-Miconia pilgeriana",3867377,"Miconia dolichorrhyncha","species"
"MICOPO-Miconia poeppigii",3871048,"Miconia poeppigii","species"
"MICOPR-Miconia prasina",3188562,"Miconia prasina","species"
"MICOPT-Miconia pterocaulon",3870290,"Miconia pterocaulon","species"
"MICOPU-Miconia purpono",3188558,"Miconia","genus"
"MICORB-Miconia aurea",3859518,"Miconia aurea","species"
"MICORU-Miconia rugosa",3868166,"Miconia rugosa","species"
"MICOSA-Miconia sachapurp",3188558,"Miconia","genus"
"MICOSC-Miconia schunkei",3867489,"Miconia schunkei","species"
"MICOSM-Miconia smaragdina",3866671,"Miconia smaragdina","species"
"MICOTI-Miconia tipica",3188558,"Miconia","genus"
"MICOTN-Miconia trinervia",3863803,"Miconia trinervia","species"
"MICOTO-Miconia tomentosa",8335424,"Miconia tomentosa","species"
"MICOTR-Miconia triplinervis",3863767,"Miconia triplinervis","species"
"MICOZU-Miconia zubenetana",3862625,"Miconia zubenetana","species"
"MICRBR-Micropholis brochidodroma",5333921,"Micropholis brochidodroma","species"
"MICRDO-Micropholis dorada",2887381,"Micropholis","genus"
"MICRDU-Micropholis guyanensis",5333948,"Micropholis guyanensis","species"
"MICREG-Micropholis egensis",5333916,"Micropholis egensis","species"
"MICRVE-Micropholis venulosa",5333937,"Micropholis venulosa","species"
"MINQGU-Minquartia guianensis",3686157,"Minquartia guianensis","species"
"MOLIGR-Mollia gracilis",5705981,"Mollia gracilis","species"
"MOLLKI-Mollinedia killipii",3782326,"Mollinedia killipii","species"
"MOLLRO-Mollinedia rojimpreso",3034105,"Mollinedia","genus"
"MOLLSP-Mollinedia spinilarga",3034105,"Mollinedia","genus"
"MOLLTO-Mollinedia tomentosa",3783010,"Mollinedia tomentosa","species"
"MOLLTR-Mollinedia tridentata",8031348,"Mollinedia tridentata","species"
"MOROPA-Moronobea pablo",7329955,"Moronobea","genus"
"MOURAC-Mouriri acutiflora",3871067,"Mouriri acutiflora","species"
"MOURGC-Mouriri grancoala",3188623,"Mouriri","genus"
"MOURGR-Mouriri grandiflora",3870549,"Mouriri grandiflora","species"
"MOURIN-Mouriri intermedia",3188623,"Mouriri","genus"
"MOURMY-Mouriri myrtilloides",3870233,"Mouriri myrtilloides","species"
"MYRCBL-Myrcia blancanueva",3173889,"Myrcia","genus"
"MYRCNI-Myrcia nitida",3173889,"Myrcia","genus"
"MYRCPI-Myrcia pielizard",3173889,"Myrcia","genus"
"MYRCPL-Myrcia platatomen",3173889,"Myrcia","genus"
"MYRCPS-Myrcia pseudonitida",3173889,"Myrcia","genus"
"MYRCS2-Myrcia splendens2",3173889,"Myrcia","genus"
"MYRCSP-Myrcia splendens",3174691,"Myrcia splendens","species"
"MYRCVE-Myrcia verticillata",6306297,"Myrcia verticillata","species"
"MYROBA-Myroxylon balsamum",5357190,"Myroxylon balsamum","species"
"MYRRAM-Myrciaria amazonica",3186420,"Myrciaria floribunda","species"
"MYRRFL-Myrciaria floribunda",3186420,"Myrciaria floribunda","species"
"MYRRIN-Myrciaria intermed",3186407,"Myrciaria","genus"
"NAUCGL-Naucleopsis glabra",3767226,"Naucleopsis glabra","species"
"NAUCIN-Naucleopsis intermed",7262533,"Naucleopsis","genus"
"NAUCKR-Naucleopsis krukovii",3767133,"Naucleopsis krukovii","species"
"NAUCUL-Naucleopsis ulei",7262829,"Naucleopsis ulei","species"
"NECTAC-Nectandra acuminata",5685525,"Nectandra acuminata","species"
"NECTGR-Nectandra granimpreso",3034018,"Nectandra","genus"
"NECTLA-Nectandra largibrachi",3034018,"Nectandra","genus"
"NECTLI-Nectandra lineata",5685105,"Nectandra lineata","species"
"NECTME-Nectandra membranacea",5371736,"Nectandra membranacea","species"
"NECTMI-Nectandra microcarpa",5685035,"Nectandra microcarpa","species"
"NECTOP-Nectandra oppositifolia",7304727,"Nectandra oppositifolia","species"
"NECTPE-Nectandra pearcei",3034018,"Nectandra","genus"
"NECTSK-Nectandra skinnyret",3034018,"Nectandra","genus"
"NECTVI-Nectandra viburnoides",5685707,"Nectandra viburnoides","species"
"NEEAAG-Neea angostintersec",3086079,"Neea","genus"
"NEEAAL-Neea altomini",3086079,"Neea","genus"
"NEEAAN-Neea aniboid",3086079,"Neea","genus"
"NEEABA-Neea bajio",3086079,"Neea","genus"
"NEEACL-Neea claudia",3086079,"Neea","genus"
"NEEACO-Neea comun",3086079,"Neea","genus"
"NEEADA-Neea daniela",3086079,"Neea","genus"
"NEEAFU-Neea fuzzy",3086079,"Neea","genus"
"NEEAGA-Neea garci",3086079,"Neea","genus"
"NEEAGI-Neea gigante",3086079,"Neea","genus"
"NEEAGR-Neea granredonda",3086079,"Neea","genus"
"NEEAMC-Neea micro",3086079,"Neea","genus"
"NEEAMI-Neea mini",3086079,"Neea","genus"
"NEEAPA-Neea paty",3086079,"Neea","genus"
"NEEAPO-Neea popular",3086079,"Neea","genus"
"NEEASU-Neea supercrasa",3086079,"Neea","genus"
"NEEAVC-Neea verdeclara",3086079,"Neea","genus"
"NEEAVE-Neea verdeseca",3086079,"Neea","genus"
"NEOSGR-Neosprucea grandiflora",8586425,"Neosprucea grandiflora","species"
"NOTOMA-Notopleura macrophylla",5336711,"Notopleura macrophylla","species"
"OCHRPY-Ochroma pyramidale",3152240,"Ochroma pyramidale","species"
"OCOTAL-Ocotea alamembra",3034076,"Ocotea","genus"
"OCOTAR-Ocotea argyrophylla",4177527,"Ocotea argyrophylla","species"
"OCOTBA-Ocotea bayelshmi",3034076,"Ocotea","genus"
"OCOTBO-Ocotea bofo",7359337,"Ocotea bofo","species"
"OCOTCE-Ocotea cernua",4179703,"Ocotea leptobotra","species"
"OCOTCH-Ocotea cujumary",4183240,"Ocotea cujumary","species"
"OCOTFL-Ocotea floribunda",3034082,"Ocotea floribunda","species"
"OCOTJA-Ocotea javitensis",7424176,"Ocotea javitensis","species"
"OCOTLA-Ocotea laurita",3034076,"Ocotea","genus"
"OCOTLE-Ocotea leucoxylon",7586130,"Ocotea leucoxylon","species"
"OCOTLO-Ocotea longifolia",4183107,"Mespilodaphne opifera","species"
"OCOTLU-Ocotea luis",3034076,"Ocotea","genus"
"OCOTME-Ocotea membraobov",3034076,"Ocotea","genus"
"OCOTNE-Ocotea nervijens",3034076,"Ocotea","genus"
"OCOTOB-Ocotea oblonga",7304263,"Ocotea oblonga","species"
"OCOTQU-Ocotea quixos",11020082,"Mespilodaphne quixos","species"
"OCOTSC-Ocotea scalariformis",4182908,"Ocotea scalariformis","species"
"OCOTUC-Ocotea ucayalensis",4181367,"Ocotea ucayalensis","species"
"OENOBA-Oenocarpus bataua",2735462,"Oenocarpus bataua","species"
"OENOMA-Oenocarpus mapora",2735446,"Oenocarpus mapora","species"
"OPHIHE-Ophiocaryon heterophyllum",3838457,"Ophiocaryon heterophyllum","species"
"ORMOAM-Ormosia amazonica",5355607,"Ormosia amazonica","species"
"ORMOEL-Ormosia elata",5355515,"Ormosia elata","species"
"ORMOPA-Ormosia paraensis",5355583,"Ormosia paraensis","species"
"OSSABO-Ossaea boliviensis",10759109,"Miconia violascens","species"
"OSSACU-Ossaea cucullata",10798744,"Miconia cucullata","species"
"OTOBGL-Otoba glycycarpa",3743774,"Otoba glycycarpa","species"
"OURAFL-Ouratea flaquita",3189667,"Ouratea","genus"
"OXANME-Oxandra mediocris",3154783,"Oxandra mediocris","species"
"OXANRI-Oxandra riedeliana",3154743,"Oxandra riedeliana","species"
"PACHIN-Pachira insignis",3152236,"Pachira insignis","species"
"PACHPU-Pachira punga-schunkei",4073636,"Pachira punga-schunkei","species"
"PALIGR-Palicourea grandiflora",2898941,"Palicourea grandiflora","species"
"PALIGU-Palicourea guianensis",2898772,"Palicourea guianensis","species"
"PALILA-Palicourea lasiantha",2898948,"Palicourea lasiantha","species"
"PALINI-Palicourea nigricans",2898690,"Palicourea nigricans","species"
"PALISB-Palicourea subspicata",2898806,"Palicourea subspicata","species"
"PARASU-Paradrypetes subintegrifolia",3917295,"Paradrypetes subintegrifolia","species"
"PARIKL-Parinari klugii",2984967,"Parinari klugii","species"
"PARKBA-Parkia balslevii",5348841,"Parkia balslevii","species"
"PARKMU-Parkia multijuga",5348884,"Parkia multijuga","species"
"PARKNI-Parkia nitida",5348833,"Parkia nitida","species"
"PARKVE-Parkia velutina",5348846,"Parkia velutina","species"
"PATIPA-Patinoa paraensis",4073396,"Patinoa paraensis","species"
"PAULXE-Paullinia xestophylla",3786877,"Paullinia xestophylla","species"
"PAUSTR-Pausandra trianae",3075100,"Pausandra trianae","species"
"PENPHU-Pentaplaris huaoranica",4073338,"Pentaplaris huaoranica","species"
"PENTPA-Pentagonia amazonica",5334738,"Pentagonia amazonica","species"
"PENTSU-Pentagonia subauric",2893500,"Pentagonia","genus"
"PENTWU-Pentagonia spathicalyx",5334752,"Pentagonia spathicalyx","species"
"PERABI-Pera bicolor",5614965,"Pera bicolor","species"
"PERADU-Pera duguet",3231319,"Pera","genus"
"PEREAN-Perebea angustifolia",3765858,"Perebea angustifolia","species"
"PEREGU-Perebea guianensis",7262696,"Perebea guianensis","species"
"PEREMO-Perebea mollis",7262684,"Perebea mollis","species"
"PERETE-Perebea tessmannii",7262670,"Perebea tessmannii","species"
"PEREXA-Perebea xanthochyma",3765422,"Perebea xanthochyma","species"
"PERSAR-Persea areolatocostae",4176300,"Persea areolatocostae","species"
"PERSPE-Persea persemed",3034041,"Persea","genus"
"PERSPS-Persea pseudofascicula",7304434,"Persea pseudofasciculata","species"
"PHYLAT-Phyllanthus attenuatus",5382615,"Phyllanthus attenuatus","species"
"PHYLMI-Phyllanthus micro",3061139,"Phyllanthus","genus"
"PHYTTE-Phytelephas tenuicaulis",2736286,"Phytelephas tenuicaulis","species"
"PICRJU-Picramnia juniniana",3708958,"Picramnia juniniana","species"
"PICRMA-Picramnia magnifolia",3708842,"Picramnia magnifolia","species"
"PICRMI-Picramnia mini",8118842,"Picramnia","genus"
"PICRPB-Picramnia pubibul",8118842,"Picramnia","genus"
"PICRPU-Picramnia pubirecta",8118842,"Picramnia","genus"
"PICRSE-Picramnia sellowii",7329631,"Picramnia sellowii","species"
"PIPEAE-Piper aequale",3086344,"Piper aequale","species"
"PIPEAL-Piper albert-smithii",4191274,"Piper mutisii","species"
"PIPEAR-Piper arboreum",7304860,"Piper arboreum","species"
"PIPEAU-Piper augustum",7305990,"Piper augustum","species"
"PIPEBE-Piper bellidi",3075433,"Piper","genus"
