Genus,SpeciesName,Mnemonic,Family,Authority,Idlevel
Garcinia,madruno,GARCMA,Clusiaceae,(H. B. K.) Hammel,species
Genipa,americana,GENIAM,Rubiaceae,L.,species
Geonoma,aspidiifolia,GEONCO,Arecaceae,Spruce,species
Geonoma,maxima,GEONMA,Arecaceae,(Poit.) Kunth,species
Geonoma,stricta,GEONST,Arecaceae,(Poit.) Kunth,species
Geonoma,triglochin,GEONTR,Arecaceae,Burret,species
Gloeospermum,equatoriense,GLOEEQ,Violaceae,Hekking,species
Gloeospermum,esferica,GLOEES,Violaceae,,genus
Gloeospermum,longifolium,GLOELO,Violaceae,Hekking,species
Glycydendron,amazonicum,GLYCAM,Euphorbiaceae,Ducke,species
Gordonia,fruticosa,GORDFR,Theaceae,(Schrad.) H. Keng,species
Grias,neuberthii,GRIANE,Lecythidaceae,J.F. Macbr.,species
Guapira,clasica,GUAPCL,Nyctaginaceae,,genus
Guapira,granclasica,GUAPGR,Nyctaginaceae,,genus
Guarea,carinata,GUARCA,Meliaceae,Ducke,species
Guarea,ecuadoriensis,GUAREC,Meliaceae,W. Palacios,species
Guarea,falsakunth,GUARFA,Meliaceae,,genus
Guarea,fistulosa,GUARFI,Meliaceae,W. Palacios,species
Guarea,gigakunth,GUARGI,Meliaceae,,genus
Guarea,glabra,GUARGL,Meliaceae,Vahl,species
Guarea,gomma,GUARGO,Meliaceae,Pulle,species
Guarea,grandifolia,GUARGR,Meliaceae,DC.,species
Guarea,guentheri,GUARGU,Meliaceae,Harms,species
Guarea,guenthfuzzy,GUARGZ,Meliaceae,,genus
Guarea,kunthiana,GUARKU,Meliaceae,A. Juss.,species
Guarea,macrophylla,GUARMA,Meliaceae,Vahl,species
Guarea,pseudokunthiana,GUARPS,Meliaceae,,genus
Guarea,pterorhachis,GUARPT,Meliaceae,Harms,species
Guarea,pubescens,GUARPB,Meliaceae,(Rich.) A. Juss.,species
Guarea,pubinervi,GUARPN,Meliaceae,,genus
Guarea,purusana,GUARPU,Meliaceae,C. DC.,species
Guarea,silvatica,GUARSI,Meliaceae,C. DC.,species
Guatteria,asplundiana,GUATGR,Annonaceae,R.E. Fr.,species
Guatteria,duodecima,GUATPL,Annonaceae,Maas & Westra,species
Guatteria,gigante,GUATGI,Annonaceae,,genus
Guatteria,glaberrima,GUATGL,Annonaceae,R.E. Fr.,species
Guatteria,hiena,XYLOHI,Annonaceae,,genus
Guatteria,multivenia,GUATMU,Annonaceae,Diels,species
Guatteria,punctomarron,GUATPC,Annonaceae,,genus
Guatteria,recurvisepala,GUATRE,Annonaceae,R.E. Fr.,species
Guatteria,scalarinervia,GUATPU,Annonaceae,D.R. Simpson,species
Guatteria,stipitata,GUATCI,Annonaceae,R.E. Fr.,species
Guettarda,acreana,GUETAC,Rubiaceae,K. Krause,species
Gustavia,hexapetala,GUSTHE,Lecythidaceae,(Aubl.) Sm.,species
Gustavia,longifolia,GUSTLO,Lecythidaceae,Poepp. ex O. Berg,species
Hasseltia,floribunda,HASSFL,Salicaceae,Kunth,species
Hasseltia,hasseltomen,HASSHA,Salicaceae,,genus
Heisteria,acuminata,HEISAC,Olacaceae,(Humb. & Bonpl.) Engl.,species
Heisteria,flacarco,HEISFL,Olacaceae,,genus
Heisteria,grande,HEISGR,Olacaceae,,genus
Heisteria,multiglan,HEISMU,Olacaceae,,genus
Heisteria,nitida,HEISNI,Olacaceae,Engl.,species
Helicostylis,tomentosa,HELITO,Moraceae,(Poepp. & Endl.) Rusby,species
Helicostylis,turbinata,HELITU,Moraceae,C.C. Berg,species
Henriettella,aspera,HENRAS,Melastomataceae,,genus
Herrania,cuatrecasana,HERRCU,Malvaceae,Garc a-Barr.,species
Herrania,nitida,HERRNI,Malvaceae,(Poepp.) R. Schultes,species
Hevea,guianensis,HEVEGU,Euphorbiaceae,Aubl.,species
Hieronyma,alchorneoides,HIERAL,Phyllanthaceae,P. Franco,species
Hieronyma,oblonga,HIEROB,Phyllanthaceae,(Tul.) M ll. Arg.,species
Himatanthus,sucuuba,HIMASU,Apocynaceae,(Spruce ex M ll. Arg.) Woodson,species
Hirtella,excelsa,HIRTEX,Chrysobalanaceae,Standl. ex Prance,species
Hirtella,racemosa,HIRTRA,Chrysobalanaceae,Lam.,species
Huertea,glandulosa,HUERGL,Tapisciaceae,Ruiz & Pav.,species
Hymenaea,oblongifolia,HYMAOB,Fabaceae,Huber,species
Hymenolobium,stipsericea,HYMEST,Fabaceae,,genus
Hyospathe,elegans,HYOSEL,Arecaceae,Mart.,species
Inga,2ala-angosta,INGA2A,Fabaceae,,genus
Inga,3crasa,INGA3C,Fabaceae,,genus
Inga,3oscura,INGA3O,Fabaceae,,genus
Inga,4alitarco,INGA4A,Fabaceae,,genus
Inga,6cuadra,INGA6C,Fabaceae,,genus
Inga,acreana,INGAAC,Fabaceae,Harms,species
Inga,alata,INGAAL,Fabaceae,Benoist,species
Inga,alba,INGAAB,Fabaceae,(Sw.) Willd.,species
Inga,auristellae,INGAAU,Fabaceae,Harms,species
Inga,bourgonii,INGABO,Fabaceae,(Aubl.) DC.,species
Inga,brachyrhachis,INGABR,Fabaceae,Harms,species
Inga,capitata,INGACA,Fabaceae,Desv.,species
Inga,cayennensis,INGACY,Fabaceae,Sagot ex Benth.,species
Inga,ciliata,INGACI,Fabaceae,C. Presl,species
Inga,cinnamomea,INGACN,Fabaceae,Spruce ex Benth.,species
Inga,cordatoalata,INGACO,Fabaceae,Ducke,species
Inga,falsacre,INGAFA,Fabaceae,,genus
Inga,heterophylla,INGAHE,Fabaceae,Willd.,species
Inga,leiocalycina,INGALE,Fabaceae,Benth.,species
Inga,marginata,INGAMA,Fabaceae,Willd.,species
Inga,microcoma,INGAMI,Fabaceae,Harms,species
Inga,multinervis,INGAMU,Fabaceae,T.D. Penn.,species
Inga,nobilis,INGANO,Fabaceae,Willd.,species
Inga,oerstediana,INGAOE,Fabaceae,Benth.,species
Inga,poeppigiana,INGAPO,Fabaceae,Benth.,species
Inga,punctata,INGAPU,Fabaceae,Willd.,species
Inga,ruiziana,INGARU,Fabaceae,G. Don,species
Inga,rusbyi,INGARS,Fabaceae,Pittier,species
Inga,sapindoides,INGASA,Fabaceae,Willd.,species
Inga,sarayacuensis,INGASR,Fabaceae,T.D. Penn.,species
Inga,sertulifera,INGASE,Fabaceae,DC.,species
Inga,spectabilis,INGASB,Fabaceae,(Vahl) Willd.,species
Inga,stellaeglabra,INGASL,Fabaceae,,genus
Inga,stipulacea,INGASP,Fabaceae,G. Don,species
Inga,striata,INGAST,Fabaceae,Benth.,species
Inga,tenuistipula,INGATE,Fabaceae,Ducke,species
Inga,tessmannii,INGATS,Fabaceae,Harms,species
Inga,thibaudiana,INGATH,Fabaceae,Harms,species
Inga,tocacheana,INGATO,Fabaceae,D. Simpson,species
Inga,umbellifera,INGAUE,Fabaceae,(Vahl) Steud.,species
Inga,umbratica,INGAUM,Fabaceae,Poepp. & Endl.,species
Inga,velutina,INGAVE,Fabaceae,Willd.,species
Inga,vismiifolia,INGAVI,Fabaceae,Poepp.,species
Inga,yacoana,INGAYA,Fabaceae,J.F. Macbr.,species
Iriartea,deltoidea,IRIADE,Arecaceae,Ruiz & Pav.,species
Iryanthera,grandis,IRYAGR,Myristicaceae,Ducke,species
Iryanthera,hostmannii,IRYAHO,Myristicaceae,(Benth.) Warb.,species
Iryanthera,juruensis,IRYAJU,Myristicaceae,Warb.,species
Iryanthera,paraensis,IRYAPA,Myristicaceae,Huber,species
Ixora,acuminatissima,IXORAC,Rubiaceae,M ll. Arg.,species
Ixora,killipii,IXORKI,Rubiaceae,Standl.,species
Ixora,panurensis,IXORPA,Rubiaceae,M ll. Arg.,species
Ixora,yavitensis,IXORYA,Rubiaceae,Steyerm.,species
Jacaranda,copaia,JACACO,Bignoniaceae,(Aubl.) D. Don,species
Jacaranda,glabra,JACAGL,Bignoniaceae,(A. DC.) Bureau & K. Schum.,species
Jacaratia,digitata,JACTDI,Caricaceae,(Poepp. & Engl.) Solms,species
Justicia,sanchezioides,JUSTSA,Acanthaceae,Leonard,species
Klarobelia,napoensis,KLARNA,Annonaceae,Chatrou,species
Kutchubaea,semisericea,KOTCSE,Rubiaceae,Ducke,species
Lacistema,aggregatum,LACIAG,Lacistematacea,(P.J. Bergius) Rusby,species
Lacistema,med,LACIME,Lacistematacea,,genus
Lacistema,nena,LACINE,Lacistematacea,J.F. Macbr.,species
Lacmellea,lactescens,LACMLA,Apocynaceae,(Kuhlm.) Markgr.,species
Lacmellea,oblongata,LACMOB,Apocynaceae,Markgr.,species
Lacunaria,crenada,LACUCR,Ochnaceae,,genus
Lacunaria,jenmanii,LACUJE,Ochnaceae,(Oliv.) Ducke,species
Laetia,procera,LAETPR,Salicaceae,(Poepp.) Eichler,species
Laxoplumeria,tessmannii,LAXOTE,Apocynaceae,Markgr.,species
Leandra,aristigera,LEANAR,Melastomataceae,(Naudin) Cogn.,species
Leandra,blanca,LEANBL,Melastomataceae,,genus
Leandra,chaetodon,LEANCH,Melastomataceae,(DC.) Cogn.,species
Leandra,longicoma,LEANLO,Melastomataceae,Cogn.,species
Lecointea,peruviana,LECOPE,Fabaceae,Standl. ex J.F. Macbr.,species
Leonia,crassa,LEONCR,Violaceae,L.B. Sm. & A. Fern ndez,species
Leonia,glycycarpa,LEONGL,Violaceae,Ruiz & Pav.,species
Leonia,occidentalis,LEONOC,Violaceae,Cuatrec. ex L.B. Sm. & A. Fern ndez,species
Licania,arborea,LICAAR,Chrysobalanaceae,Seem.,species
Licania,blancostaverde,LICABL,Chrysobalanaceae,,genus
Licania,brittoniana,LICABR,Chrysobalanaceae,Fritsch,species
Licania,caudata,LICACA,Chrysobalanaceae,Prance,species
Licania,filo,LICAFI,Chrysobalanaceae,,genus
Licania,harlingii,LICAHA,Chrysobalanaceae,Prance,species
Licania,hipofuzzy,LICAHI,Chrysobalanaceae,,genus
Licania,longipedicellat,LICALG,Chrysobalanaceae,Ducke,species
Licania,longistyla,LICALO,Chrysobalanaceae,(Hook. f.) Fritsch,species
Licania,macrocarpa,LICAMA,Chrysobalanaceae,Cuatrec.,species
Licania,nervifina,LICANE,Chrysobalanaceae,,genus
Licania,opaca,LICAOP,Chrysobalanaceae,,genus
Licania,pablo,LICAPA,Chrysobalanaceae,,genus
Licania,reticulata,LICARE,Chrysobalanaceae,Prance,species
Licania,urceolaris,LICAUR,Chrysobalanaceae,Hook. f.,species
Licania,zigzag,LICAZI,Chrysobalanaceae,,genus
Licaria,brillacuspi,LICRBR,Lauraceae,,genus
Licaria,cannella,LICRCA,Lauraceae,(Meisn.) Kosterm.,species
Licaria,chiquita,ZZLACQ,Lauraceae,,genus
Licaria,guianensis,LICRGU,Lauraceae,Aubl.,species
Licaria,oppretic,CINNOP,Lauraceae,,genus
Lindackeria,paludosa,LINDPA,Achariaceae,(Benth.) Gilg,species
Lonchocarpus,seorsus,LONCSE,Fabaceae,"(J.F.Macbr.) M. Sousa ex D.A. Neill, Kl",species
Loreya,klugii,LOREKL,Melastomataceae,S.S. Renner,species
Loreya,spruceana,LORESP,Melastomataceae,Benth. ex Triana,species
Lozania,klugii,LOZAKL,Lacistemataceae,(Mansf.) Mansf.,species
Lunania,parviflora,LUNAPA,Salicaceae,Spruce ex Benth.,species
Mabea,comun,MABECO,Euphorbiaceae,,genus
Mabea,superbrondu,MABESU,Euphorbiaceae,,genus
Machaerium,aristulatum,MACHAR,Fabaceae,(Spruce ex Benth.) Ducke,species
Machaerium,finiparalel,MACHFI,Fabaceae,,genus
Macrocnemum,roseum,MACNRO,Rubiaceae,(Ruiz & Pav.) Wedd.,species
Macrolobium,angustifolium,MACRAN,Fabaceae,(Benth.) R.S. Cowan,species
Macrolobium,archeri,MACRAR,Fabaceae,R.S. Cowan,species
Macrolobium,colombianum,MACRCO,Fabaceae,(Britton & Killip) Killip ex L. Uribe,species
Macrolobium,stenocladum,MACRST,Fabaceae,Harms,species
Macrolobium,yasuni,MACRYA,Fabaceae,,genus
Magnolia,equatorialis,TALAOV,Magnoliaceae,A. V zquez,species
Magnolia,rimachii,TALATY,Magnoliaceae,(Lozano) Govaerts,species
Maquira,calophylla,MAQUCA,Moraceae,(Poepp. & Endl.) C.C. Berg,species
Maquira,guianensis,MAQUGU,Moraceae,Aubl.,species
Margaritaria,nobilis,MARGNO,Phyllanthaceae,L. f.,species
Margaritaria,roja,MARGRO,Phyllanthaceae,,genus
Margaritopsis,boliviana,MARTBO,Rubiaceae,(Standl.) C.M. Taylor,species
Marila,comun,MARICO,Calophyllaceae,,genus
Marila,puntorojo,MARIPU,Calophyllaceae,,genus
Marmaroxylon,basijugum,MARMBA,Fabaceae,(Ducke) L. Rico,species
Matayba,ocho,MATAOC,Sapindaceae,,genus
Matisia,bracteolosa,MATIBR,Malvaceae,Ducke,species
Matisia,cordata,MATICO,Malvaceae,Bonpl.,species
Matisia,huallagensis,MATILO,Malvaceae,Cuatrec,species
Matisia,malacocalyx,MATIMA,Malvaceae,(Robyns & Nilsson) Alverson,species
Matisia,obliquifolia,MATIOQ,Malvaceae,Standl.,species
Matisia,oblongifolia,MATIOB,Malvaceae,Poepp. & Endl.,species
Mauritia,flexuosa,MAURFL,Arecaceae,L. f.,species
Mayna,anelio,MAYNAN,Achariaceae,,genus
Mayna,odorata,MAYNOD,Achariaceae,Aubl.,species
Maytenus,ala,MAYTAL,Celastraceae,,genus
Maytenus,cilindrica,MAYTCI,Celastraceae,,genus
Maytenus,cuadliso,MAYTCU,Celastraceae,,genus
Melicoccus,novogranatensis,MELCNG,Sapindaceae,Acev.-Rodr.,species
Meliosma,doly,MELIDO,Sabiaceae,,genus
Meliosma,polyneura,MELIPO,Sabiaceae,A.H. Gentry,species
Meliosma,vasquezii,MELIVA,Sabiaceae,A.H. Gentry,species
Memora,cladotricha,MEMOCL,Bignoniaceae,Sandwith,species
Mezilaurus,extendido,MEZIEX,Lauraceae,,genus
Mezilaurus,triunca,MEZITR,Lauraceae,van der Werff,species
Miconia,abbreviata,MICOAB,Melastomataceae,Markgr.,species
Miconia,acutipetala,MICOAC,Melastomataceae,Sprague,species
Miconia,ampla,MICOAM,Melastomataceae,Triana,species
Miconia,atenunodu,MICOAT,Melastomataceae,,genus
Miconia,aurea,MICORB,Melastomataceae,(D. Don) Naudin,species
Miconia,aureoides,MICOAU,Melastomataceae,Cogn.,species
Miconia,bubalina,MICOBU,Melastomataceae,(D. Don) Naudin,species
Miconia,centrodesma,MICOCE,Melastomataceae,Naudin,species
Miconia,chocofres,MICOCH,Melastomataceae,,genus
Miconia,corine,MICOCO,Melastomataceae,,genus
Miconia,crasarb,MICOCR,Melastomataceae,,genus
Miconia,decurrens,MICODE,Melastomataceae,Cogn.,species
Miconia,egensis,MICOEG,Melastomataceae,Cogn.,species
Miconia,elata,MICOEL,Melastomataceae,(Sw.) DC.,species
Miconia,elatita,MICOET,Melastomataceae,,genus
Miconia,falsarug,MICOFA,Melastomataceae,,genus
Miconia,fosteri,MICOFO,Melastomataceae,Wurdack,species
Miconia,grancordata,MICOGC,Melastomataceae,,genus
Miconia,grandifolia,MICOGR,Melastomataceae,Ule,species
Miconia,karina,MICOKA,Melastomataceae,,genus
Miconia,klugii,MICOKL,Melastomataceae,H. A. Gleason,species
Miconia,lamprophylla,MICOLA,Melastomataceae,Triana,species
Miconia,lateriflora,MICOLT,Melastomataceae,Cogn.,species
Miconia,lugonis,MICOLU,Melastomataceae,Wurdack,species
Miconia,matthaei,MICOMA,Melastomataceae,Naudin,species
Miconia,medglauca,MICOME,Melastomataceae,,genus
Miconia,multispicata,MICOMU,Melastomataceae,Naudin,species
Miconia,napoana,MICONA,Melastomataceae,Wurdack,species
Miconia,nerviblanco,MICONE,Melastomataceae,,genus
Miconia,nervosa,MICONV,Melastomataceae,(Sm.) Triana,species
Miconia,peqdorada,MICOPE,Melastomataceae,,genus
Miconia,pilgeriana,MICOPI,Melastomataceae,Ule,species
Miconia,poeppigii,MICOPO,Melastomataceae,Triana,species
Miconia,prasina,MICOPR,Melastomataceae,(Sw.) DC.,species
Miconia,pterocaulon,MICOPT,Melastomataceae,Triana,species
Miconia,purpono,MICOPU,Melastomataceae,,genus
Miconia,rugosa,MICORU,Melastomataceae,Triana,species
Miconia,sachapurp,MICOSA,Melastomataceae,,genus
Miconia,schunkei,MICOSC,Melastomataceae,Wurdack,species
Miconia,smaragdina,MICOSM,Melastomataceae,Naudin,species
Miconia,tipica,MICOTI,Melastomataceae,,genus
Miconia,tomentosa,MICOTO,Melastomataceae,(Rich.) D. Don ex DC.,species
Miconia,trinervia,MICOTN,Melastomataceae,(Sw.) D. Don ex Loudon,species
Miconia,triplinervis,MICOTR,Melastomataceae,Ruiz & Pav.,species
Miconia,zubenetana,MICOZU,Melastomataceae,J.F. Macbr.,species
Micropholis,brochidodroma,MICRBR,Sapotaceae,T.D. Penn.,species
Micropholis,dorada,MICRDO,Sapotaceae,,genus
Micropholis,egensis,MICREG,Sapotaceae,(A. DC.) Pierre,species
Micropholis,guyanensis,MICRDU,Sapotaceae,(A.DC.) Pierre,species
Micropholis,venulosa,MICRVE,Sapotaceae,(Mart. & Eichler) Pierre,species
Minquartia,guianensis,MINQGU,Olacaceae,Aubl.,species
Mollia,gracilis,MOLIGR,Malvaceae,Spruce ex Benth.,species
Mollinedia,killipii,MOLLKI,Monimiaceae,J.F. Macbr.,species
Mollinedia,rojimpreso,MOLLRO,Monimiaceae,,genus
Mollinedia,spinilarga,MOLLSP,Monimiaceae,,genus
Mollinedia,tomentosa,MOLLTO,Monimiaceae,(Benth.) Tul.,species
Mollinedia,tridentata,MOLLTR,Monimiaceae,Schonfelder,species
Moronobea,pablo,MOROPA,Clusiaceae,,genus
Mouriri,acutiflora,MOURAC,Melastomataceae,Naudin,species
Mouriri,grancoala,MOURGC,Melastomataceae,,genus
Mouriri,grandiflora,MOURGR,Melastomataceae,DC.,species
Mouriri,intermedia,MOURIN,Melastomataceae,,genus
Mouriri,myrtilloides,MOURMY,Melastomataceae,(Sw.) Poir.,species
Myrcia,blancanueva,MYRCBL,Myrtaceae,,genus
Myrcia,nitida,MYRCNI,Myrtaceae,,genus
Myrcia,pielizard,MYRCPI,Myrtaceae,,genus
Myrcia,platatomen,MYRCPL,Myrtaceae,,genus
Myrcia,pseudonitida,MYRCPS,Myrtaceae,,genus
Myrcia,splendens,MYRCSP,Myrtaceae,(Sw.) DC.,species
Myrcia,splendens2,MYRCS2,Myrtaceae,,genus
Myrcia,verticillata,MYRCVE,Myrtaceae,M. L. Kawasaki & B. K. Holst,species
Myrciaria,amazonica,MYRRAM,Myrtaceae,O. Berg in Mart.,species
Myrciaria,floribunda,MYRRFL,Myrtaceae,(H. West ex Willd.) O. Berg,species
Myrciaria,intermed,MYRRIN,Myrtaceae,,genus
Myrciaria,racemosa,PLINCO,Myrtaceae,M.L. Kawas.,species
Myroxylon,balsamum,MYROBA,Fabaceae,(L.) Harms,species
Naucleopsis,glabra,NAUCGL,Moraceae,Spruce ex Pittier,species
Naucleopsis,intermed,NAUCIN,Moraceae,,genus
Naucleopsis,krukovii,NAUCKR,Moraceae,(Standl.) C.C. Berg,species
Naucleopsis,ulei,NAUCUL,Moraceae,(Warb.) Ducke,species
Nectandra,acuminata,NECTAC,Lauraceae,(Nees & C. Mart.) J.F. Macbr.,species
Nectandra,granimpreso,NECTGR,Lauraceae,,genus
Nectandra,largibrachi,NECTLA,Lauraceae,,genus
Nectandra,lineata,NECTLI,Lauraceae,(Kunth) Rohwer,species
Nectandra,membranacea,NECTME,Lauraceae,(Sw.) Griseb.,species
Nectandra,microcarpa,NECTMI,Lauraceae,Meisn. in A. DC.,species
Nectandra,oppositifolia,NECTOP,Lauraceae,Nees & Mart.,species
Nectandra,pearcei,NECTPE,Lauraceae,,genus
Nectandra,skinnyret,NECTSK,Lauraceae,,genus
Nectandra,viburnoides,NECTVI,Lauraceae,Meisn. in A. DC.,species
Neea,altomini,NEEAAL,Nyctaginaceae,,genus
Neea,angostintersec,NEEAAG,Nyctaginaceae,,genus
Neea,aniboid,NEEAAN,Nyctaginaceae,,genus
Neea,bajio,NEEABA,Nyctaginaceae,,genus
Neea,claudia,NEEACL,Nyctaginaceae,,genus
Neea,comun,NEEACO,Nyctaginaceae,,genus
Neea,daniela,NEEADA,Nyctaginaceae,,genus
Neea,fuzzy,NEEAFU,Nyctaginaceae,,genus
Neea,garci,NEEAGA,Nyctaginaceae,,genus
Neea,gigante,NEEAGI,Nyctaginaceae,,genus
Neea,granredonda,NEEAGR,Nyctaginaceae,,genus
Neea,micro,NEEAMC,Nyctaginaceae,,genus
Neea,mini,NEEAMI,Nyctaginaceae,,genus
Neea,paty,NEEAPA,Nyctaginaceae,,genus
Neea,popular,NEEAPO,Nyctaginaceae,,genus
Neea,supercrasa,NEEASU,Nyctaginaceae,,genus
Neea,verdeclara,NEEAVC,Nyctaginaceae,,genus
Neea,verdeseca,NEEAVE,Nyctaginaceae,,genus
Neosprucea,grandiflora,NEOSGR,Salicaceae,(Spruce ex Benth.) Sleumer,species
Notopleura,macrophylla,NOTOMA,Rubiaceae,(Ruiz & Pav.) C.M. Taylor,species
Ochroma,pyramidale,OCHRPY,Malvaceae,(Cav. ex Lam.) Urb.,species
Ocotea,alamembra,OCOTAL,Lauraceae,,genus
Ocotea,argyrophylla,OCOTAR,Lauraceae,Ducke,species
Ocotea,bayelshmi,OCOTBA,Lauraceae,,genus
Ocotea,bofo,OCOTBO,Lauraceae,Kunth,species
Ocotea,cernua,OCOTCE,Lauraceae,(Nees) Mez,species
Ocotea,cujumary,OCOTCH,Lauraceae,Mart.,species
Ocotea,floribunda,OCOTFL,Lauraceae,(Sw.) Mez,species
Ocotea,javitensis,OCOTJA,Lauraceae,(Kunth) Pittier,species
Ocotea,laurita,OCOTLA,Lauraceae,,genus
Ocotea,leucoxylon,OCOTLE,Lauraceae,(Sw.) Laness.,species
Ocotea,longifolia,OCOTLO,Lauraceae,Kunth,species
Ocotea,luis,OCOTLU,Lauraceae,,genus
Ocotea,membraobov,OCOTME,Lauraceae,,genus
Ocotea,nervijens,OCOTNE,Lauraceae,,genus
Ocotea,oblonga,OCOTOB,Lauraceae,(Meisn.) Mez,species
Ocotea,quixos,OCOTQU,Lauraceae,(Lam.) Kosterm.,species
Ocotea,scalariformis,OCOTSC,Lauraceae,van der Werff,species
Ocotea,ucayalensis,OCOTUC,Lauraceae,O. Schmidt,species
Oenocarpus,bataua,OENOBA,Arecaceae,Mart.,species
Oenocarpus,mapora,OENOMA,Arecaceae,H. Karst.,species
Ophiocaryon,heterophyllum,OPHIHE,Sabiaceae,(Benth.) Urb.,species
Ormosia,amazonica,ORMOAM,Fabaceae,Ducke,species
Ormosia,elata,ORMOEL,Fabaceae,Rudd,species
Ormosia,paraensis,ORMOPA,Fabaceae,Ducke,species
Ossaea,boliviensis,OSSABO,Melastomataceae,(Cogn.) Gleason,species
Ossaea,cucullata,OSSACU,Melastomataceae,Gleason,species
Otoba,glycycarpa,OTOBGL,Myristicaceae,(Ducke) W.A. Rodrigues & T.S. Jaramillo,species
Ouratea,flaquita,OURAFL,Ochnaceae,,genus
Oxandra,mediocris,OXANME,Annonaceae,Diels,species
Oxandra,riedeliana,OXANRI,Annonaceae,R.E. Fr.,species
Pachira,insignis,PACHIN,Malvaceae,(Sw.) Sw. ex Savigny,species
Pachira,punga-schunkei,PACHPU,Malvaceae,Fern. Alonso,species
Palicourea,grandiflora,PALIGR,Rubiaceae,(Kunth) Standl.,species
Palicourea,guianensis,PALIGU,Rubiaceae,Aubl.,species
Palicourea,lasiantha,PALILA,Rubiaceae,K. Krause,species
Palicourea,nigricans,PALINI,Rubiaceae,Krause,species
Palicourea,subspicata,PALISB,Rubiaceae,Huber,species
Paradrypetes,subintegrifolia,PARASU,Rhizophoraceae,G.A. Levin,species
Parinari,klugii,PARIKL,Chrysobalanaceae,Prance,species
Parkia,balslevii,PARKBA,Fabaceae,H.C. Hopkins,species
Parkia,multijuga,PARKMU,Fabaceae,Benth.,species
Parkia,nitida,PARKNI,Fabaceae,Miq.,species
Parkia,velutina,PARKVE,Fabaceae,Benoist,species
Patinoa,paraensis,PATIPA,Malvaceae,(Huber) Cuatrec.,species
Paullinia,xestophylla,PAULXE,Sapindaceae,Radlk.,species
Pausandra,trianae,PAUSTR,Euphorbiaceae,(M ll. Arg.) Baill.,species
Pentagonia,amazonica,PENTPA,Rubiaceae,(Ducke) L. Andersson & Rova,species
Pentagonia,spathicalyx,PENTWU,Rubiaceae,K. Schum,species
Pentagonia,subauric,PENTSU,Rubiaceae,,genus
Pentaplaris,huaoranica,PENPHU,Malvaceae,Dorr & C. Bayer,species
Pera,bicolor,PERABI,Euphorbiaceae,(Klotzsch) M ll. Arg.,species
Pera,duguet,PERADU,Euphorbiaceae,,genus
Perebea,angustifolia,PEREAN,Moraceae,(Poepp. & Endl.) C.C. Berg,species
Perebea,guianensis,PEREGU,Moraceae,Aubl.,species
Perebea,mollis,PEREMO,Moraceae,(Poepp. & Endl.) Huber,species
Perebea,tessmannii,PERETE,Moraceae,Mildbr.,species
Perebea,xanthochyma,PEREXA,Moraceae,H. Karst.,species
Persea,areolatocostae,PERSAR,Lauraceae,(Allen) van der Werff,species
Persea,persemed,PERSPE,Lauraceae,,genus
Persea,pseudofascicula,PERSPS,Lauraceae,Kopp,species
Phyllanthus,attenuatus,PHYLAT,Phyllanthaceae,Miq.,species
Phyllanthus,micro,PHYLMI,Phyllanthaceae,,genus
Phytelephas,tenuicaulis,PHYTTE,Arecaceae,(Barfod) An. Hend.,species
Picramnia,juniniana,PICRJU,Picramniaceae,J.F. Macbr.,species
Picramnia,magnifolia,PICRMA,Picramniaceae,J.F. Macbr.,species
